x,y
-5.729166791,14.68749996
-6.076388992,14.68749996
-6.076388992,14.34027776
-5.729166791,15.03472123
-5.729166791,15.38194437
-6.076388992,15.38194437
-6.076388992,15.03472123
-7.118055597,15.72916657
-7.118055597,16.0763897
-7.500012871,16.0763897
-7.500012871,15.72916657
-7.118055597,16.42361283
-7.118055597,16.77083224
-7.500012871,16.77083224
-7.500012871,16.42361283
-7.118055597,17.11805537
-7.118055597,17.46527851
-7.500012871,17.46527851
-7.500012871,17.11805537
-7.118055597,17.81250164
-7.118055597,18.15972105
-7.500012871,18.15972105
-7.500012871,17.81250164
-6.423611194,15.72916657
-6.423611194,16.0763897
-6.770833395,16.0763897
-6.770833395,15.72916657
-6.423611194,16.42361283
-6.423611194,16.77083224
-6.770833395,16.77083224
-6.770833395,16.42361283
-5.729166791,15.72916657
-5.729166791,16.0763897
-6.076388992,16.0763897
-6.076388992,15.72916657
-5.729166791,16.42361283
-5.729166791,16.77083224
-6.076388992,16.77083224
-6.076388992,16.42361283
-6.423611194,17.11805537
-6.423611194,17.46527851
-6.770833395,17.46527851
-6.770833395,17.11805537
-6.423611194,17.81250164
-6.423611194,18.15972105
-6.770833395,18.15972105
-6.770833395,17.81250164
-5.729166791,17.11805537
-5.729166791,17.46527851
-6.076388992,17.46527851
-6.076388992,17.11805537
-5.729166791,17.81250164
-5.729166791,18.15972105
-6.076388992,18.15972105
-6.076388992,17.81250164
-7.118055597,18.50694418
-7.118055597,18.85416731
-7.500012871,18.85416731
-7.500012871,18.50694418
-7.118055597,19.20139045
-7.118055597,19.54860985
-7.500012871,19.54860985
-7.500012871,19.20139045
-7.500012871,19.99999583
-7.118055597,19.99999583
-6.423611194,18.50694418
-6.423611194,18.85416731
-6.770833395,18.85416731
-6.770833395,18.50694418
-6.423611194,19.20139045
-6.423611194,19.54860985
-6.770833395,19.54860985
-6.770833395,19.20139045
-5.729166791,18.50694418
-5.729166791,18.85416731
-6.076388992,18.85416731
-6.076388992,18.50694418
-5.729166791,19.20139045
-5.729166791,19.54860985
-6.076388992,19.54860985
-6.076388992,19.20139045
-6.770833395,19.99999583
-6.423611194,19.99999583
-6.076388992,19.99999583
-5.729166791,19.99999583
-5.034722388,10.17361134
-5.034722388,10.52083354
-5.381944589,10.52083354
-5.381944589,10.17361134
-5.034722388,10.86805575
-5.034722388,11.21527795
-5.381944589,11.21527795
-5.381944589,10.86805575
-4.340277985,10.17361134
-4.340277985,10.52083354
-4.687500186,10.52083354
-4.687500186,10.17361134
-4.340277985,10.86805575
-4.340277985,11.21527795
-4.687500186,11.21527795
-4.687500186,10.86805575
-5.034722388,11.56250015
-5.034722388,11.90972235
