timestamp,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,ft_fx,ft_fy,ft_fz
2025-09-12T21:26:40.485046,0.141590595,-1.644129416,1.571518246,-1.69491448,-1.601852719,0.186332226,0,0.141590595,-1.644129416,1.571518246,-1.69491448,-1.601852719,0.186332226,0,-1.0594,-1.0706,-0.219
2025-09-12T21:26:40.517086,0.142495632,-1.641772409,1.571441952,-1.69411244,-1.601517502,0.185948849,0,0.142495632,-1.641772409,1.571441952,-1.69411244,-1.601517502,0.185948849,0,-0.9594,-1.4706,-0.319
2025-09-12T21:26:40.549078,0.143090248,-1.638850351,1.571115796,-1.693917891,-1.601266209,0.185566425,0,0.143090248,-1.638850351,1.571115796,-1.693917891,-1.601266209,0.185566425,0,-0.8594,-1.2106,-0.099
2025-09-12T21:26:40.581082,0.143470287,-1.635551115,1.570490185,-1.694068094,-1.601026837,0.185220242,0,0.143470287,-1.635551115,1.570490185,-1.694068094,-1.601026837,0.185220242,0,-0.9394,-1.3306,-0.099
2025-09-12T21:26:40.613097,0.143706799,-1.632113596,1.569601361,-1.694502016,-1.60081226,0.184967518,0,0.143706799,-1.632113596,1.569601361,-1.694502016,-1.60081226,0.184967518,0,-0.8994,-1.2306,-0.079
2025-09-12T21:26:40.645143,0.143753529,-1.629047533,1.568729703,-1.695140501,-1.600668255,0.18457365,0,0.143753529,-1.629047533,1.568729703,-1.695140501,-1.600668255,0.18457365,0,-0.8594,-1.0506,-0.179
2025-09-12T21:26:40.693169,0.143848896,-1.626140734,1.567955319,-1.6958734,-1.600451771,0.184239388,0,0.143848896,-1.626140734,1.567955319,-1.6958734,-1.600451771,0.184239388,0,-1.0394,-0.8706,0.021
2025-09-12T21:26:40.725223,0.143873215,-1.623513361,1.56752998,-1.696812769,-1.600091759,0.183916569,0,0.143873215,-1.623513361,1.56752998,-1.696812769,-1.600091759,0.183916569,0,-0.8594,-1.0306,-0.259
2025-09-12T21:26:40.757255,0.143932819,-1.621903559,1.567716901,-1.697795054,-1.599804703,0.183666706,0,0.143932819,-1.621903559,1.567716901,-1.697795054,-1.599804703,0.183666706,0,-0.8794,-0.9906,-0.079
2025-09-12T21:26:40.789262,0.144004822,-1.620895525,1.568382565,-1.698547026,-1.599601571,0.183708668,0,0.144004822,-1.620895525,1.568382565,-1.698547026,-1.599601571,0.183708668,0,-0.9594,-0.9306,-0.079
